image,subject_set,site,veg_type,location,latitude,longitude,elevation
./masked_images/niwot2/2010/niwot2_2010_06_29_120141_masked_EN0001.jpg,EN_masked,niwot2,EN,"Niwot Ridge, Colorado, USA",40.032864,-105.54697,
./masked_images/niwot2/2013/niwot2_2013_12_15_120140_masked_EN0001.jpg,EN_masked,niwot2,EN,"Niwot Ridge, Colorado, USA",40.032864,-105.54697,
./masked_images/niwot2/2011/niwot2_2011_04_26_120140_masked_EN0001.jpg,EN_masked,niwot2,EN,"Niwot Ridge, Colorado, USA",40.032864,-105.54697,
./masked_images/niwot2/2012/niwot2_2012_03_02_120140_masked_EN0001.jpg,EN_masked,niwot2,EN,"Niwot Ridge, Colorado, USA",40.032864,-105.54697,
./masked_images/niwot2/2010/niwot2_2010_10_26_120138_masked_EN0001.jpg,EN_masked,niwot2,EN,"Niwot Ridge, Colorado, USA",40.032864,-105.54697,
./masked_images/niwot2/2010/niwot2_2010_10_10_120142_masked_EN0001.jpg,EN_masked,niwot2,EN,"Niwot Ridge, Colorado, USA",40.032864,-105.54697,
./masked_images/niwot2/2010/niwot2_2010_02_19_120140_masked_EN0001.jpg,EN_masked,niwot2,EN,"Niwot Ridge, Colorado, USA",40.032864,-105.54697,
./masked_images/niwot2/2009/niwot2_2009_09_03_120141_masked_EN0001.jpg,EN_masked,niwot2,EN,"Niwot Ridge, Colorado, USA",40.032864,-105.54697,
./masked_images/dukehw_pairs/2014/dukehw_2014_04_23_120109_masked_DB0001_pair_diff7.jpg,DB_pairs_spring,dukehw,DB,"Duke Forest, North Carolina, USA",35.973583,-79.100371,400
./masked_images/dukehw_pairs/2014/dukehw_2014_03_19_120107_masked_DB0001_pair_diff3r.jpg,DB_pairs_spring,dukehw,DB,"Duke Forest, North Carolina, USA",35.973583,-79.100371,400
./masked_images/dukehw_pairs/2014/dukehw_2014_03_16_120108_masked_DB0001_pair_diff3.jpg,DB_pairs_spring,dukehw,DB,"Duke Forest, North Carolina, USA",35.973583,-79.100371,400
./masked_images/dukehw_pairs/2014/dukehw_2014_05_05_120108_masked_DB0001_pair_diff7r.jpg,DB_pairs_spring,dukehw,DB,"Duke Forest, North Carolina, USA",35.973583,-79.100371,400
./masked_images/dukehw_pairs/2014/dukehw_2014_03_22_120115_masked_DB0001_pair_diff7r.jpg,DB_pairs_spring,dukehw,DB,"Duke Forest, North Carolina, USA",35.973583,-79.100371,400
./masked_images/dukehw_pairs/2014/dukehw_2014_05_09_120110_masked_DB0001_pair_diff1.jpg,DB_pairs_spring,dukehw,DB,"Duke Forest, North Carolina, USA",35.973583,-79.100371,400
./masked_images/dukehw_pairs/2014/dukehw_2014_05_09_120110_masked_DB0001_pair_diff7.jpg,DB_pairs_spring,dukehw,DB,"Duke Forest, North Carolina, USA",35.973583,-79.100371,400
./masked_images/dukehw_pairs/2014/dukehw_2014_05_09_120110_masked_DB0001_pair_diff1r.jpg,DB_pairs_spring,dukehw,DB,"Duke Forest, North Carolina, USA",35.973583,-79.100371,400
./masked_images/dukehw_pairs/2014/dukehw_2014_04_20_120109_masked_DB0001_pair_diff1.jpg,DB_pairs_spring,dukehw,DB,"Duke Forest, North Carolina, USA",35.973583,-79.100371,400
./masked_images/dukehw_pairs/2014/dukehw_2014_04_07_120109_masked_DB0001_pair_diff1.jpg,DB_pairs_spring,dukehw,DB,"Duke Forest, North Carolina, USA",35.973583,-79.100371,400
./masked_images/dukehw_pairs/2014/dukehw_2014_03_29_120109_masked_DB0001_pair_diff1.jpg,DB_pairs_spring,dukehw,DB,"Duke Forest, North Carolina, USA",35.973583,-79.100371,400
./masked_images/dukehw_pairs/2014/dukehw_2014_04_23_120109_masked_DB0001_pair_diff1r.jpg,DB_pairs_spring,dukehw,DB,"Duke Forest, North Carolina, USA",35.973583,-79.100371,400
./masked_images/dukehw_pairs/2014/dukehw_2014_04_26_120109_masked_DB0001_pair_diff1.jpg,DB_pairs_spring,dukehw,DB,"Duke Forest, North Carolina, USA",35.973583,-79.100371,400
